key,english,zh_value,reason
event.report,Alarm Report,Alarm Report,same_as_english
event.legacyAlarmsPage,Legacy Alarms Page,Legacy Alarms Page,same_as_english
event.backup.failure,Backup Failed for File: {0} because {1},Backup Failed for File: {0} because {1},same_as_english
event.rtn.unknown,Unknown inactive cause,Unknown inactive cause,same_as_english
event.missing,"Missing event type {0}, the module that created it is not installed","Missing event type {0}, the module that created it is not installed",same_as_english
validate.cannotBeNegative,Cannot be negative,Cannot be negative,same_as_english
validate.greaterThanRawLow,Must be greater than Scaling raw low value,Must be greater than Scaling raw low value,same_as_english
validate.greaterThanEngLow,Must be greater than Scaling engineering unit low value,Must be greater than Scaling engineering unit low value,same_as_english
validate.greaterThanDiscardLow,Must be greater than discard low limit,Must be greater than discard low limit,same_as_english
validate.greaterThanSetExtremeLow,Must be greater than set extreme low limit,Must be greater than set extreme low limit,same_as_english
validate.between,Must be between {0} and {1},Must be between {0} and {1},same_as_english
validate.betweenInc,Must be between {0} and {1} inclusive,Must be between {0} and {1} inclusive,same_as_english
validate.allVarNames,All variable names must be defined,All variable names must be defined,same_as_english
validate.invalidVarName,Invalid variable name: {0},Invalid variable name: {0},same_as_english
validate.duplicateVarName,Duplicate variable name: {0},Duplicate variable name: {0},same_as_english
validate.invalidType,Invalid class type mismatch,Invalid class type mismatch,same_as_english
validate.invalidValueWithAcceptable,"Invalid value, acceptable values: {0}","Invalid value, acceptable values: {0}",same_as_english
validate.greaterThan1s,Cannot be less than two seconds,Cannot be less than two seconds,same_as_english
validate.captureGroup,A capture group must be defined,A capture group must be defined,same_as_english
validate.parseError,Parse error: {0},Parse error: {0},same_as_english
validate.invalidCharset,Invalid character set name,Invalid character set name,same_as_english
validate.fieldName,One of Query field name or update statement must be provided,One of Query field name or update statement must be provided,same_as_english
validate.invalidAddress,Invalid sensor address: {0},Invalid sensor address: {0},same_as_english
validate.notLessThan30s,Cannot be less than 30 seconds,Cannot be less than 30 seconds,same_as_english
validate.missingDeviceId,Device ID cannot be empty,Device ID cannot be empty,same_as_english
validate.maxGreaterThanMin,Maximum must be greater than the minimum,Maximum must be greater than the minimum,same_as_english
validate.minLessThanMax,Minimum must be less than the maximum,Minimum must be less than the maximum,same_as_english
validate.atLeast1,At least one value must be defined,At least one value must be defined,same_as_english
validate.parameterRequired,Parameter name is required,Parameter name is required,same_as_english
validate.xidUsed,This XID is already in use,This XID is already in use,same_as_english
validate.text.incompatible,Text renderer is incompatible with data type,Text renderer is incompatible with data type,same_as_english
validate.chart.incompatible,Chart renderer is incompatible with data type,Chart renderer is incompatible with data type,same_as_english
validate.rollup.incompatible,Rollup ''{0}'' is incompatible with data type,Rollup ''{0}'' is incompatible with data type,same_as_english
validate.intervalType.incompatible,Interval type {0} is incompatible with data type {1},Interval type {0} is incompatible with data type {1},same_as_english
validate.ped.xidUsed,The same XID ''{0}'' is being used for multiple event detectors. Not saved,The same XID ''{0}'' is being used for multiple event detectors. Not saved,same_as_english
validate.ped.xidMissing,All event detectors must define an XID. Not saved,All event detectors must define an XID. Not saved,same_as_english
validate.invalidCron,Error in cron expression: {0},Error in cron expression: {0},same_as_english
validate.publisher.cacheDiscardSize,Must be greater than the cache warning size,Must be greater than the cache warning size,same_as_english
validate.publisher.duplicatePoint,"Point list contains a duplicate: name=''{0}'', xid=''{1}''","Point list contains a duplicate: name=''{0}'', xid=''{1}''",same_as_english
validate.publisher.incompatiblePublisherType,Incompatible publisher type,Incompatible publisher type,same_as_english
validate.unitNotCompatible,Unit is not compatible,Unit is not compatible,same_as_english
validate.invalidReference,Invalid XID Reference,Invalid XID Reference,same_as_english
validate.incompatibleDataSourceType,Data Source Type Incompatible,Data Source Type Incompatible,same_as_english
validate.invalidPermissionWithSpace,Permission cannot contain space: {0},Permission cannot contain space: {0},same_as_english
validate.invalidPermission,Cannot add permission that you do not already have: {0},Cannot add permission that you do not already have: {0},same_as_english
validate.invalidPermissionModification,Cannot add or remove a permissions you do not have. You have: {0},Cannot add or remove a permissions you do not have. You have: {0},same_as_english
validate.mustHaveEditPermission,Must retain edit permission,Must retain edit permission,same_as_english
validate.mustRetainPermission,Must retain permission,Must retain permission,same_as_english
validate.userRequired,User required to save items with permissions,User required to save items with permissions,same_as_english
validate.invalidPermissionEmpty,Permission cannot be empty,Permission cannot be empty,same_as_english
validate.greaterThan,Must be greater than {0},Must be greater than {0},same_as_english
validate.greaterThanOrEqualTo,Must be greater than or equal to {0},Must be greater than or equal to {0},same_as_english
validate.lessThan,Must be less than {0},Must be less than {0},same_as_english
validate.lessThanOrEqualTo,Must be less than or equal to {0},Must be less than or equal to {0},same_as_english
validate.cannotContainEmptyString,Cannot contain empty string,Cannot contain empty string,same_as_english
validate.validationFailed,Validation failed,Validation failed,same_as_english
validate.invalidRegex,Regex failed to compile: {0},Regex failed to compile: {0},same_as_english
validate.tagCantBeNull,"Tag keys and values must be strings, can't be null.","Tag keys and values must be strings, can't be null.",same_as_english
validate.invalidTagKey,Tag keys cannot be 'device' or 'name',Tag keys cannot be 'device' or 'name',same_as_english
validate.readOnly,"Read only value, cannot be changed","Read only value, cannot be changed",same_as_english
validate.cannotSimplifyType,Simplify not valid for type {0},Simplify not valid for type {0},same_as_english
validate.fileDoesNotExist,File does not exist,File does not exist,same_as_english
validate.directoryDoesNotExist,Directory does not exist,Directory does not exist,same_as_english
validate.pathIsDirectory,"Path is a directory, not a file","Path is a directory, not a file",same_as_english
validate.fileNotReadable,File not readable,File not readable,same_as_english
validate.fileNotWritable,File not writable,File not writable,same_as_english
validate.invalidValueForField,Invalid value for field ''{0}'',Invalid value for field ''{0}'',same_as_english
validate.cronCannotBeQuantized,Cron triggered data sources cannot be quantized,Cron triggered data sources cannot be quantized,same_as_english
validate.invalidCombination,Invalid combination when ''{0}'' is set to ''{1}'',Invalid combination when ''{0}'' is set to ''{1}'',same_as_english
validate.textRenderer.unitNotSupported,Text renderer does not support using units,Text renderer does not support using units,same_as_english
validate.minLength,"The minimum length is {0} characters, you have entered {1} characters","The minimum length is {0} characters, you have entered {1} characters",same_as_english
validate.maxLength,"The maximum length is {0} characters, you have entered {1} characters","The maximum length is {0} characters, you have entered {1} characters",same_as_english
validate.minNumber,The minimum value is {0},The minimum value is {0},same_as_english
validate.maxNumber,The maximum value is {0},The maximum value is {0},same_as_english
validate.wholeNumber,Must be a whole number (integer),Must be a whole number (integer),same_as_english
validate.mustBeNumber,Must be a number,Must be a number,same_as_english
validate.passwordsDoNotMatch,The passwords do not match,The passwords do not match,same_as_english
validate.invalidLocale,Invalid locale,Invalid locale,same_as_english
validate.invalidTimezone,Invalid timezone,Invalid timezone,same_as_english
validate.invalidPermissions,Invalid permissions string,Invalid permissions string,same_as_english
validate.invalidRoles,Invalid roles string,Invalid roles string,same_as_english
validate.invalidEmail,Invalid email,Invalid email,same_as_english
validate.statePattern,Invalid state name,Invalid state name,same_as_english
validate.mustBeAbsolutePath,Must be an absolute path (starts with a single slash),Must be an absolute path (starts with a single slash),same_as_english
validate.invalidUrl,Invalid URL,Invalid URL,same_as_english
validate.invalidPhone,Invalid phone,Invalid phone,same_as_english
validate.password.insufficientLowercase,Password must contain {0} or more lowercase characters,Password must contain {0} or more lowercase characters,same_as_english
validate.password.insufficientUppercase,Password must contain {0} or more uppercase characters,Password must contain {0} or more uppercase characters,same_as_english
validate.password.insufficientDigit,Password must contain {0} or more digit characters,Password must contain {0} or more digit characters,same_as_english
validate.password.insufficientSpecial,Password must contain {0} or more special characters,Password must contain {0} or more special characters,same_as_english
validate.password.tooLong,Password must be no more than {0} characters in length,Password must be no more than {0} characters in length,same_as_english
validate.password.tooShort,Password must be {0} or more characters in length,Password must be {0} or more characters in length,same_as_english
emport.error.chart.missing,Chart renderer must have a ''{0}''. Valid values are {1},Chart renderer must have a ''{0}''. Valid values are {1},same_as_english
emport.error.chart.invalid,Chart renderer has an invalid ''{0}'' value of ''{1}''. Valid values are {2},Chart renderer has an invalid ''{0}'' value of ''{1}''. Valid values are {2},same_as_english
emport.error.text.missing,Text renderer must have a ''{0}''. Valid values are {1},Text renderer must have a ''{0}''. Valid values are {1},same_as_english
emport.error.text.invalid,Text renderer has an invalid ''{0}'' value of ''{1}''. Valid values are {2},Text renderer has an invalid ''{0}'' value of ''{1}''. Valid values are {2},same_as_english
emport.error.missingObject,Missing ''{0}'' object,Missing ''{0}'' object,same_as_english
emport.error.missingValue,Missing ''{0}'' value.,Missing ''{0}'' value.,same_as_english
emport.error.wrongDataType,Incorrect data type for value of ''{0}'' expecting type of {1},Incorrect data type for value of ''{0}'' expecting type of {1},same_as_english
emport.error.missing,Missing ''{0}'' value. Valid values are {1},Missing ''{0}'' value. Valid values are {1},same_as_english
emport.error.invalid,Invalid ''{0}'' value of ''{1}''. Valid values are {2},Invalid ''{0}'' value of ''{1}''. Valid values are {2},same_as_english
emport.error.pointType.missing,Point type must have a ''{0}''. Valid values are {1},Point type must have a ''{0}''. Valid values are {1},same_as_english
emport.error.pointType.invalid,Point type has an invalid ''{0}'' value of ''{1}''. Valid values are {2},Point type has an invalid ''{0}'' value of ''{1}''. Valid values are {2},same_as_english
emport.error.permission.missing,Missing ''{0}'' in point permission,Missing ''{0}'' in point permission,same_as_english
emport.error.missingSource,Data source with XID ''{0}'' not found,Data source with XID ''{0}'' not found,same_as_english
emport.error.ped.missing,Point event detector must have a ''{0}''. Valid values are {1},Point event detector must have a ''{0}''. Valid values are {1},same_as_english
emport.error.ped.missingAttr,Point event detector must have a ''{0}''.,Point event detector must have a ''{0}''.,same_as_english
emport.error.ped.invalid,Point event detector has an invalid ''{0}'' value of ''{1}''. Valid values are {2},Point event detector has an invalid ''{0}'' value of ''{1}''. Valid values are {2},same_as_english
emport.error.eventCode,Invalid event code ''{0}''. Valid codes are {1},Invalid event code ''{0}''. Valid codes are {1},same_as_english
emport.error.alarmLevel,Invalid alarm level ''{0}'' for event ''{1}''. Valid values are {2},Invalid alarm level ''{0}'' for event ''{1}''. Valid values are {2},same_as_english
emport.error.missingUser,User with username ''{0}'' not found,User with username ''{0}'' not found,same_as_english
emport.error.eventHandler.invalid,Event handler has an invalid ''{0}'' value of ''{1}''. Valid values are {2},Event handler has an invalid ''{0}'' value of ''{1}''. Valid values are {2},same_as_english
emport.error.recipient.missing,Recipient must have a ''{0}''. Valid values are {1},Recipient must have a ''{0}''. Valid values are {1},same_as_english
emport.error.recipient.invalid.reference,Recipient has an invalid ''{0}'' value of ''{1}'',Recipient has an invalid ''{0}'' value of ''{1}'',same_as_english
emport.error.recipient.missing.reference,Recipient must have a ''{0}'',Recipient must have a ''{0}'',same_as_english
emport.error.eventType.null,Event type is missing,Event type is missing,same_as_english
emport.error.eventType.missing,Event type must have a ''{0}''. Valid values are {1},Event type must have a ''{0}''. Valid values are {1},same_as_english
emport.error.eventType.invalid,Event type has an invalid ''{0}'' value of ''{1}''. Valid values are {2},Event type has an invalid ''{0}'' value of ''{1}''. Valid values are {2},same_as_english
emport.error.eventType.missing.reference,Event type must have a ''{0}'',Event type must have a ''{0}'',same_as_english
emport.error.eventType.invalid.reference,Event type has an invalid ''{0}'' value of ''{1}'',Event type has an invalid ''{0}'' value of ''{1}'',same_as_english
emport.error.publishedPoint.missing,Published point must have a ''{0}''.,Published point must have a ''{0}''.,same_as_english
emport.error.parseError,Error parsing ''{0}'',Error parsing ''{0}'',same_as_english
emport.error.deleteNew,Unable to delete non-existant entry: {0},Unable to delete non-existant entry: {0},same_as_english
emport.error.unableToDeleteDueToConstraints,"Unable to delete entry: {0}, due to database constraints","Unable to delete entry: {0}, due to database constraints",same_as_english
emport.error.unableToDelete,Unable to delete entry: {0},Unable to delete entry: {0},same_as_english
emport.error.xidRequired,XID not provided but is required,XID not provided but is required,same_as_english
emport.error.dataValue.null,Data value is missing,Data value is missing,same_as_english
emport.error.virtual.comm.missing,Virtual comm port configuration is missing ''{0}''. Valid values are {1},Virtual comm port configuration is missing ''{0}''. Valid values are {1},same_as_english
emport.error.virtual.comm.invalid,Virtual comm port configuration has an invalid ''{0}'' value of ''{1}'' . Valid valies are {2},Virtual comm port configuration has an invalid ''{0}'' value of ''{1}'' . Valid valies are {2},same_as_english
emport.error.context.missing,Missing ''{0}'' in context point,Missing ''{0}'' in context point,same_as_english
internal.monitor.BATCH_INSTANCES,Point value write threads,Point value write threads,same_as_english
internal.monitor.MONITOR_HIGH_ACTIVE,High priority work items currently running,High priority work items currently running,same_as_english
internal.monitor.MONITOR_HIGH_SCHEDULED,Currently scheduled high priority tasks,Currently scheduled high priority tasks,same_as_english
internal.monitor.MONITOR_HIGH_WAITING,High priority tasks queued,High priority tasks queued,same_as_english
internal.monitor.MONITOR_MEDIUM_ACTIVE,Medium priority tasks currently running,Medium priority tasks currently running,same_as_english
internal.monitor.MONITOR_MEDIUM_WAITING,Medium priority tasks queued,Medium priority tasks queued,same_as_english
internal.monitor.MONITOR_LOW_ACTIVE,Low priority tasks currently running,Low priority tasks currently running,same_as_english
internal.monitor.MONITOR_LOW_WAITING,Low priority tasks queued,Low priority tasks queued,same_as_english
internal.monitor.MONITOR_STACK_HEIGHT,Maximum thread stack height,Maximum thread stack height,same_as_english
internal.monitor.MONITOR_THREAD_COUNT,Active thread count,Active thread count,same_as_english
internal.monitor.DB_ACTIVE_CONNECTIONS,Active database connections,Active database connections,same_as_english
internal.monitor.DB_IDLE_CONNECTIONS,Idle database connections,Idle database connections,same_as_english
internal.monitor.BATCH_WRITE_SPEED_MONITOR,Writes per second during database batches,Writes per second during database batches,same_as_english
internal.monitor.USER_SESSION_COUNT,Active user sessions,Active user sessions,same_as_english
internal.monitor.pollingDataSource.SUCCESS,{0} previous sequential successful polls,{0} previous sequential successful polls,same_as_english
internal.monitor.pollingDataSource.DURATION,{0} last poll duration,{0} last poll duration,same_as_english
internal.monitor.pollingDataSource.PERCENTAGE,{0} poll success percentage,{0} poll success percentage,same_as_english
internal.monitor.JSON_DATA_COUNT,JSON data entries,JSON data entries,same_as_english
internal.monitor.SERVER_THREADS,HTTP server threads,HTTP server threads,same_as_english
internal.monitor.SERVER_IDLE_THREADS,HTTP server idle threads,HTTP server idle threads,same_as_english
internal.monitor.SERVER_QUEUE_SIZE,HTTP server queue size,HTTP server queue size,same_as_english
internal.monitor.MA_HOME_SIZE,MA_HOME usage (bytes),MA_HOME usage (bytes),same_as_english
internal.monitor.fileStoreSize,{0} file store usage (bytes),{0} file store usage (bytes),same_as_english
internal.monitor.MA_HOME_PARTITION_TOTAL_SPACE,Mango partition total space (bytes),Mango partition total space (bytes),same_as_english
internal.monitor.MA_HOME_PARTITION_USABLE_SPACE,Mango partition usable space (bytes),Mango partition usable space (bytes),same_as_english
internal.monitor.NOSQL_PARTITION_TOTAL_SPACE,NoSQL partition total space (bytes),NoSQL partition total space (bytes),same_as_english
internal.monitor.NOSQL_PARTITION_USABLE_SPACE,NoSQL partition usable space (bytes),NoSQL partition usable space (bytes),same_as_english
internal.monitor.SQL_PARTITION_TOTAL_SPACE,SQL database partition total space (bytes),SQL database partition total space (bytes),same_as_english
internal.monitor.SQL_PARTITION_USABLE_SPACE,SQL database partition usable space (bytes),SQL database partition usable space (bytes),same_as_english
internal.monitor.FILESTORE_PARTITION_TOTAL_SPACE,Filestore partition total space (bytes),Filestore partition total space (bytes),same_as_english
internal.monitor.FILESTORE_PARTITION_USABLE_SPACE,Filestore partition usable space (bytes),Filestore partition usable space (bytes),same_as_english
varNames.missing,Missing ''{0}'' in context point,Missing ''{0}'' in context point,same_as_english
permissions.accessDeniedInvalidPermission,Permission ''{0}'' not defined in system,Permission ''{0}'' not defined in system,same_as_english
filter.byDataSourceXid,Data source xid,Data source xid,same_as_english
filestore.core.description,Default filestore,Default filestore,same_as_english
filestore.core.permission.read,Core filestore read permission,Core filestore read permission,same_as_english
filestore.core.permission.write,Core filestore write permission,Core filestore write permission,same_as_english
filestore.public.description,Public filestore,Public filestore,same_as_english
filestore.public.permission.write,Public filestore write permission,Public filestore write permission,same_as_english
filestore.docs.description,Docs filestore,Docs filestore,same_as_english
filestore.docs.permission.read,Docs filestore read permission,Docs filestore read permission,same_as_english
filestore.docs.permission.write,Docs filestore write permission,Docs filestore write permission,same_as_english
filestore.noSuchFileStore,File store {0} is not defined,File store {0} is not defined,same_as_english
filestore.user.description,User filestore {0},User filestore {0},same_as_english
filestore.user.permission.create,User filestore create permission,User filestore create permission,same_as_english
filestore.user.createPermissionDenied,User {0} does not have create permission for filestores,User {0} does not have create permission for filestores,same_as_english
scripting.permission,Script permission,Script permission,same_as_english
scripting.permission.dataSource,Script data source permission,Script data source permission,same_as_english
license.checkFailure,"Failed license check, shutdown in: {0}","Failed license check, shutdown in: {0}",same_as_english
startup.state.epollInitialize,Initializing epoll notification system,Initializing epoll notification system,same_as_english
shutdown.state.preTerminate,Pre Terminate,Pre Terminate,same_as_english
runtimeManager.initialize.rtm,Initializing {0} runtime,Initializing {0} runtime,same_as_english
runtimeManager.initialize.dataSource,Data source {0} took {1}ms to start,Data source {0} took {1}ms to start,same_as_english
runtimeManager.initialize.publisher,Publisher {0} took {1}ms to start,Publisher {0} took {1}ms to start,same_as_english
dateAndTime.millisecond.per,Per millisecond,Per millisecond,same_as_english
dateAndTime.second.per,Per second,Per second,same_as_english
dateAndTime.minute.per,Per minute,Per minute,same_as_english
dateAndTime.hour.per,Per hour,Per hour,same_as_english
dateAndTime.day.per,Per day,Per day,same_as_english
dateAndTime.week.per,Per week,Per week,same_as_english
dateAndTime.dayOfMonth,Day of month,Day of month,same_as_english
dateAndTime.month.per,Per month,Per month,same_as_english
dateAndTime.dayOfWeek,Day of week,Day of week,same_as_english
dateAndTime.year.per,Per year,Per year,same_as_english
jsonData.permission.create,Permission to create a JSON data entry,Permission to create a JSON data entry,same_as_english
jsonData.createPermissionDenied,User {0} does not have permission to create a JSON data entry,User {0} does not have permission to create a JSON data entry,same_as_english
rest.exception.modelNotFound,Unable to find model with Type Key: {0},Unable to find model with Type Key: {0},same_as_english
rest.exception.noSupportingModel,No model found to support class: {0},No model found to support class: {0},same_as_english
rest.exception.alreadyExists,Item with xid: {0} already exists,Item with xid: {0} already exists,same_as_english
rest.exception.sessionExpired,Session expired,Session expired,same_as_english
rest.exception.rateLimited,Rate limited,Rate limited,same_as_english
rest.exception.authenticationIpRateLimited,Authentication attempts by IP address {0} are rate limited,Authentication attempts by IP address {0} are rate limited,same_as_english
rest.exception.authenticationUsernameRateLimited,Authentication attempts against username {0} are rate limited,Authentication attempts against username {0} are rate limited,same_as_english
rest.exception.genericAuthenticationFailed,Authentication failed: {0},Authentication failed: {0},same_as_english
rest.exception.accountDisabled,Account disabled,Account disabled,same_as_english
rest.exception.credentialsExpired,Credentials expired,Credentials expired,same_as_english
rest.exception.badCredentials,Bad credentials,Bad credentials,same_as_english
rest.exception.samePassword,New password cannot be the same as the existing password,New password cannot be the same as the existing password,same_as_english
rest.exception.complexityRequirementsFailed,Password does not meet the complexity requirements,Password does not meet the complexity requirements,same_as_english
rest.httpStatus.100,Continue,Continue,same_as_english
rest.httpStatus.101,Switching Protocols,Switching Protocols,same_as_english
rest.httpStatus.200,OK,OK,same_as_english
rest.httpStatus.201,Created,Created,same_as_english
rest.httpStatus.202,Accepted,Accepted,same_as_english
rest.httpStatus.203,Non-Authoritative Information,Non-Authoritative Information,same_as_english
rest.httpStatus.204,No Content,No Content,same_as_english
rest.httpStatus.205,Reset Content,Reset Content,same_as_english
rest.httpStatus.206,Partial Content,Partial Content,same_as_english
rest.httpStatus.300,Multiple Choices,Multiple Choices,same_as_english
rest.httpStatus.301,Moved Permanently,Moved Permanently,same_as_english
rest.httpStatus.302,Found,Found,same_as_english
rest.httpStatus.303,See Other,See Other,same_as_english
rest.httpStatus.304,Not Modified,Not Modified,same_as_english
rest.httpStatus.305,Use Proxy,Use Proxy,same_as_english
rest.httpStatus.307,Temporary Redirect,Temporary Redirect,same_as_english
rest.httpStatus.400,Bad Request,Bad Request,same_as_english
rest.httpStatus.401,Unauthorized,Unauthorized,same_as_english
rest.httpStatus.402,Payment Required,Payment Required,same_as_english
rest.httpStatus.403,Access denied,Access denied,same_as_english
rest.httpStatus.404,Not Found,Not Found,same_as_english
rest.httpStatus.405,Method Not Allowed,Method Not Allowed,same_as_english
rest.httpStatus.406,Not Acceptable,Not Acceptable,same_as_english
rest.httpStatus.407,Proxy Authentication Required,Proxy Authentication Required,same_as_english
rest.httpStatus.408,Request Time-out,Request Time-out,same_as_english
rest.httpStatus.409,Conflict,Conflict,same_as_english
rest.httpStatus.410,Gone,Gone,same_as_english
rest.httpStatus.411,Length Required,Length Required,same_as_english
rest.httpStatus.412,Precondition Failed,Precondition Failed,same_as_english
rest.httpStatus.413,Request Entity Too Large,Request Entity Too Large,same_as_english
rest.httpStatus.414,Request-URI Too Large,Request-URI Too Large,same_as_english
rest.httpStatus.415,Unsupported Media Type,Unsupported Media Type,same_as_english
rest.httpStatus.416,Requested range not satisfiable,Requested range not satisfiable,same_as_english
rest.httpStatus.417,Expectation Failed,Expectation Failed,same_as_english
rest.httpStatus.422,Unprocessable Entity,Unprocessable Entity,same_as_english
rest.httpStatus.500,Internal Server Error,Internal Server Error,same_as_english
rest.httpStatus.501,Not Implemented,Not Implemented,same_as_english
rest.httpStatus.502,Bad Gateway,Bad Gateway,same_as_english
rest.httpStatus.503,Service Unavailable,Service Unavailable,same_as_english
rest.httpStatus.504,Gateway Time-out,Gateway Time-out,same_as_english
rest.httpStatus.505,HTTP Version not supported,HTTP Version not supported,same_as_english
rest.httpStatusMessage.100,Continue — {0},Continue — {0},same_as_english
rest.httpStatusMessage.101,Switching Protocols — {0},Switching Protocols — {0},same_as_english
rest.httpStatusMessage.200,OK — {0},OK — {0},same_as_english
rest.httpStatusMessage.201,Created — {0},Created — {0},same_as_english
rest.httpStatusMessage.202,Accepted — {0},Accepted — {0},same_as_english
rest.httpStatusMessage.203,Non-Authoritative Information — {0},Non-Authoritative Information — {0},same_as_english
rest.httpStatusMessage.204,No Content — {0},No Content — {0},same_as_english
rest.httpStatusMessage.205,Reset Content — {0},Reset Content — {0},same_as_english
rest.httpStatusMessage.206,Partial Content — {0},Partial Content — {0},same_as_english
rest.httpStatusMessage.300,Multiple Choices — {0},Multiple Choices — {0},same_as_english
rest.httpStatusMessage.301,Moved Permanently — {0},Moved Permanently — {0},same_as_english
rest.httpStatusMessage.302,Found — {0},Found — {0},same_as_english
rest.httpStatusMessage.303,See Other — {0},See Other — {0},same_as_english
rest.httpStatusMessage.304,Not Modified — {0},Not Modified — {0},same_as_english
rest.httpStatusMessage.305,Use Proxy — {0},Use Proxy — {0},same_as_english
rest.httpStatusMessage.307,Temporary Redirect — {0},Temporary Redirect — {0},same_as_english
rest.httpStatusMessage.400,Bad Request — {0},Bad Request — {0},same_as_english
rest.httpStatusMessage.401,Unauthorized — {0},Unauthorized — {0},same_as_english
rest.httpStatusMessage.402,Payment Required — {0},Payment Required — {0},same_as_english
rest.httpStatusMessage.403,Access denied — {0},Access denied — {0},same_as_english
rest.httpStatusMessage.404,Not Found — {0},Not Found — {0},same_as_english
rest.httpStatusMessage.405,Method Not Allowed — {0},Method Not Allowed — {0},same_as_english
rest.httpStatusMessage.406,Not Acceptable — {0},Not Acceptable — {0},same_as_english
rest.httpStatusMessage.407,Proxy Authentication Required — {0},Proxy Authentication Required — {0},same_as_english
rest.httpStatusMessage.408,Request Time-out — {0},Request Time-out — {0},same_as_english
rest.httpStatusMessage.409,Conflict — {0},Conflict — {0},same_as_english
rest.httpStatusMessage.410,Gone — {0},Gone — {0},same_as_english
rest.httpStatusMessage.411,Length Required — {0},Length Required — {0},same_as_english
rest.httpStatusMessage.412,Precondition Failed — {0},Precondition Failed — {0},same_as_english
rest.httpStatusMessage.413,Request Entity Too Large — {0},Request Entity Too Large — {0},same_as_english
rest.httpStatusMessage.414,Request-URI Too Large — {0},Request-URI Too Large — {0},same_as_english
rest.httpStatusMessage.415,Unsupported Media Type — {0},Unsupported Media Type — {0},same_as_english
rest.httpStatusMessage.416,Requested range not satisfiable — {0},Requested range not satisfiable — {0},same_as_english
rest.httpStatusMessage.417,Expectation Failed — {0},Expectation Failed — {0},same_as_english
rest.httpStatusMessage.422,Unprocessable Entity — {0},Unprocessable Entity — {0},same_as_english
rest.httpStatusMessage.500,Internal Server Error — {0},Internal Server Error — {0},same_as_english
rest.httpStatusMessage.501,Not Implemented — {0},Not Implemented — {0},same_as_english
rest.httpStatusMessage.502,Bad Gateway — {0},Bad Gateway — {0},same_as_english
rest.httpStatusMessage.503,Service Unavailable — {0},Service Unavailable — {0},same_as_english
rest.httpStatusMessage.504,Gateway Time-out — {0},Gateway Time-out — {0},same_as_english
rest.httpStatusMessage.505,HTTP Version not supported — {0},HTTP Version not supported — {0},same_as_english
rest.missingModelMapping,No model mapping for {0} to {1},No model mapping for {0} to {1},same_as_english
permission.exception.doesNotHaveRequiredPermission,''{0}'' does not hold the required role,''{0}'' does not hold the required role,same_as_english
permission.exception.doesNotHaveRequiredGrantedPermission,''{0}'' does not hold the required permission,''{0}'' does not hold the required permission,same_as_english
permission.exception.notAuthenticated,Not authenticated,Not authenticated,same_as_english
permission.exception.userIsDisabled,User is disabled,User is disabled,same_as_english
permission.exception.mustBeAdmin,Must be administrator,Must be administrator,same_as_english
permission.exception.event,User ''{0}'' does not have permission for the event,User ''{0}'' does not have permission for the event,same_as_english
